subject,window,importance
1,window_1_of_4,0.18923611111111116
1,window_2_of_4,0.053819444444444475
1,window_3_of_4,0.00520833333333337
1,window_4_of_4,0.01736111111111105
2,window_1_of_4,0.08333333333333337
2,window_2_of_4,0.03645833333333337
2,window_3_of_4,0.057291666666666685
2,window_4_of_4,0.027777777777777846
3,window_1_of_4,0.17881944444444448
3,window_2_of_4,0.07465277777777779
3,window_3_of_4,-0.03472222222222221
3,window_4_of_4,0.05381944444444453
4,window_1_of_4,0.1875
4,window_2_of_4,0.05902777777777779
4,window_3_of_4,0.006944444444444475
4,window_4_of_4,-0.017361111111111105
5,window_1_of_4,0.20138888888888884
5,window_2_of_4,0.08680555555555552
5,window_3_of_4,0.043402777777777735
5,window_4_of_4,0.006944444444444309
6,window_1_of_4,0.17881944444444442
6,window_2_of_4,0.06944444444444442
6,window_3_of_4,-0.008680555555555525
6,window_4_of_4,0.055555555555555525
7,window_1_of_4,0.22916666666666674
7,window_2_of_4,0.08333333333333337
7,window_3_of_4,0.02083333333333337
7,window_4_of_4,0.01388888888888895
8,window_1_of_4,0.14236111111111116
8,window_2_of_4,0.07638888888888895
8,window_3_of_4,0.01736111111111116
8,window_4_of_4,0.07638888888888895
9,window_1_of_4,0.16666666666666674
9,window_2_of_4,0.05208333333333337
9,window_3_of_4,-0.02951388888888884
9,window_4_of_4,-0.015624999999999889
