name,tensor_type,shape,numel,min,max,abs_max,mean,std,outlier_count,outlier_fraction,q01,q25,median,q75,q99
lif1.mem,buffer,"(32, 8, 22, 1002)",5643264,-63.087315,51.324989,63.087315,-3.515549,7.366118,73237,0.012978,-25.81753,-7.433333,-0.610282,1.01419,12.567689
lif3.mem,buffer,"(32, 16, 1, 251)",128512,-53.128902,34.413544,53.128902,-1.755723,6.232024,2254,0.017539,-21.810349,-4.269073,0.028896,1.381583,13.25644
lif2.mem,buffer,"(32, 16, 1, 1002)",513024,-46.573895,30.295403,46.573895,-3.708867,7.424402,9054,0.017648,-27.256754,-7.805198,-1.086899,0.849212,12.360312
temporal_conv.1.running_var,buffer,"(8,)",8,1.193679,2.395442,2.395442,1.837001,0.423433,0,0.0,1.203328,1.624186,1.870013,2.106795,2.385737
depthwise_conv.1.weight,parameter,"(16,)",16,0.79091,1.262933,1.262933,0.952516,0.104688,0,0.0,0.793269,0.900866,0.948527,0.984344,1.225764
separable_pointwise.1.weight,parameter,"(16,)",16,0.945617,1.114799,1.114799,1.051272,0.039689,0,0.0,0.952703,1.038125,1.060955,1.07482,1.109917
temporal_conv.1.weight,parameter,"(8,)",8,0.856124,1.084366,1.084366,0.949862,0.076925,0,0.0,0.857683,0.89509,0.936055,0.993327,1.080156
lif2.threshold,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif1.threshold,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif1.graded_spikes_factor,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif2.graded_spikes_factor,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif3.graded_spikes_factor,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif3.threshold,buffer,(),1,1.0,1.0,1.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0
lif2.beta,buffer,(),1,0.95,0.95,0.95,0.95,0.0,0,0.0,0.95,0.95,0.95,0.95,0.95
lif1.beta,buffer,(),1,0.95,0.95,0.95,0.95,0.0,0,0.0,0.95,0.95,0.95,0.95,0.95
lif3.beta,buffer,(),1,0.95,0.95,0.95,0.95,0.0,0,0.0,0.95,0.95,0.95,0.95,0.95
separable_pointwise.0.weight,parameter,"(16, 16, 1, 1)",256,-0.385007,0.433076,0.433076,-0.00063,0.145027,0,0.0,-0.343361,-0.098952,-0.008319,0.089012,0.326702
depthwise_conv.0.weight,parameter,"(16, 1, 22, 1)",352,-0.329888,0.370576,0.370576,-0.001533,0.13163,0,0.0,-0.276899,-0.098895,0.0012,0.102248,0.254921
depthwise_conv.1.running_mean,buffer,"(16,)",16,-0.310785,0.357719,0.357719,-0.000582,0.167866,0,0.0,-0.289962,-0.075701,-0.042199,0.037224,0.340851
separable_depthwise.weight,parameter,"(16, 1, 1, 16)",256,-0.312773,0.301848,0.312773,0.012745,0.144997,0,0.0,-0.299562,-0.094773,0.030739,0.129015,0.270257
classifier.weight,parameter,"(4, 992)",3968,-0.288532,0.283095,0.288532,-0.002061,0.064024,28,0.007056,-0.174563,-0.039958,0.000393,0.037919,0.146796
separable_pointwise.1.running_mean,buffer,"(16,)",16,-0.226744,0.240779,0.240779,0.042438,0.13421,0,0.0,-0.215765,-0.04339,0.053625,0.130883,0.235868
depthwise_conv.1.bias,parameter,"(16,)",16,-0.227388,0.122837,0.227388,-0.098548,0.081645,0,0.0,-0.221687,-0.15225,-0.100571,-0.06543,0.100915
depthwise_conv.1.running_var,buffer,"(16,)",16,0.021081,0.218873,0.218873,0.07705,0.060404,0,0.0,0.022246,0.037233,0.055925,0.086794,0.215613
temporal_conv.0.weight,parameter,"(8, 1, 1, 500)",4000,-0.143403,0.154584,0.154584,-0.000686,0.044639,5,0.00125,-0.100265,-0.031944,-0.001469,0.029562,0.106693
separable_pointwise.1.bias,parameter,"(16,)",16,-0.128366,0.055516,0.128366,0.003497,0.04066,1,0.0625,-0.111863,-0.001876,0.008006,0.024588,0.05314
temporal_conv.1.bias,parameter,"(8,)",8,-0.125195,0.121574,0.125195,-0.043519,0.077779,0,0.0,-0.124418,-0.097969,-0.044128,-0.02633,0.111544
classifier.bias,parameter,"(4,)",4,-0.023088,0.049129,0.049129,0.00768,0.030188,0,0.0,-0.0224,-0.00587,0.002338,0.015888,0.0478
separable_pointwise.1.running_var,buffer,"(16,)",16,0.012003,0.030644,0.030644,0.022561,0.004779,0,0.0,0.013,0.019092,0.022858,0.024646,0.030514
temporal_conv.1.running_mean,buffer,"(8,)",8,-0.001253,0.000696,0.001253,-2.6e-05,0.000569,0,0.0,-0.001178,-0.000141,7e-05,0.000218,0.000671
lif1.reset_mechanism_val,buffer,(),1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
lif2.reset_mechanism_val,buffer,(),1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
lif3.reset_mechanism_val,buffer,(),1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
