fractional_bits,integer_bits,format,balanced_accuracy,loss,eval_time_s
64,18,Q18.64,0.444444,1.212023,1.8
63,18,Q18.63,0.444444,1.212023,1.66
62,18,Q18.62,0.444444,1.212023,1.66
61,18,Q18.61,0.444444,1.212023,1.66
60,18,Q18.60,0.444444,1.212023,1.66
59,18,Q18.59,0.444444,1.212023,1.66
58,18,Q18.58,0.444444,1.212023,1.66
57,18,Q18.57,0.444444,1.212023,1.66
56,18,Q18.56,0.444444,1.212023,1.66
55,18,Q18.55,0.444444,1.212023,1.66
54,18,Q18.54,0.444444,1.212023,1.66
53,18,Q18.53,0.444444,1.212023,1.66
52,18,Q18.52,0.444444,1.212023,1.66
51,18,Q18.51,0.444444,1.212023,1.66
50,18,Q18.50,0.444444,1.212023,1.66
49,18,Q18.49,0.444444,1.212023,1.66
48,18,Q18.48,0.444444,1.212023,1.66
47,18,Q18.47,0.444444,1.212023,1.66
46,18,Q18.46,0.444444,1.212023,1.66
45,18,Q18.45,0.444444,1.212023,1.66
44,18,Q18.44,0.444444,1.212023,1.66
43,18,Q18.43,0.444444,1.212023,1.66
42,18,Q18.42,0.444444,1.212023,1.66
41,18,Q18.41,0.444444,1.212023,1.66
40,18,Q18.40,0.444444,1.212023,1.66
39,18,Q18.39,0.444444,1.212023,1.66
38,18,Q18.38,0.444444,1.212023,1.66
37,18,Q18.37,0.444444,1.212023,1.66
36,18,Q18.36,0.444444,1.212023,1.66
35,18,Q18.35,0.444444,1.212023,1.66
34,18,Q18.34,0.444444,1.212023,1.66
33,18,Q18.33,0.444444,1.212023,1.66
32,18,Q18.32,0.444444,1.212023,1.66
31,18,Q18.31,0.444444,1.212023,1.66
30,18,Q18.30,0.444444,1.212023,1.66
29,18,Q18.29,0.444444,1.212024,1.66
28,18,Q18.28,0.444444,1.212032,1.66
27,18,Q18.27,0.444444,1.212025,1.66
26,18,Q18.26,0.444444,1.212014,1.66
25,18,Q18.25,0.444444,1.211999,1.66
24,18,Q18.24,0.444444,1.212026,1.66
23,18,Q18.23,0.444444,1.212009,1.66
22,18,Q18.22,0.444444,1.212012,1.66
21,18,Q18.21,0.444444,1.212074,1.66
20,18,Q18.20,0.444444,1.211987,1.66
19,18,Q18.19,0.444444,1.21201,1.66
18,18,Q18.18,0.446181,1.212097,1.66
17,18,Q18.17,0.446181,1.212323,1.66
16,18,Q18.16,0.446181,1.212331,1.66
15,18,Q18.15,0.442708,1.212144,1.66
14,18,Q18.14,0.446181,1.212345,1.66
13,18,Q18.13,0.444444,1.212219,1.66
12,18,Q18.12,0.447917,1.212365,1.66
11,18,Q18.11,0.4375,1.213019,1.66
10,18,Q18.10,0.442708,1.214783,1.66
9,18,Q18.9,0.444444,1.214037,1.66
8,18,Q18.8,0.435764,1.209087,1.66
7,18,Q18.7,0.463542,1.188702,1.66
6,18,Q18.6,0.472222,1.18093,1.66
5,18,Q18.5,0.440972,1.220881,1.66
4,18,Q18.4,0.357639,1.336961,1.66
3,18,Q18.3,0.527778,1.103243,1.66
2,18,Q18.2,0.25,1.655879,1.66
1,18,Q18.1,0.25,1.386295,1.66
0,18,Q18.0,0.25,1.386295,1.66
