timestamp,trial_number,mean_bal_acc,n_subjects,run_zscore,norm_axis,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,readout_mode,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
2026-07-03T07:53:40,1,0.537423,9,False,"(1, 3)",-3.8594621756841883,0.00013821,50,32,8,15,spk_mean,22,4,12,7,37,2,5,0.16159231298709775,0.9800600323775519,37.96701863807679
2026-07-03T08:19:27,2,0.513117,9,False,"(1, 3)",-3.2926771708541023,0.00050971,50,32,15,8,spk_mean,15,2,15,5,62,5,3,0.15214391021540233,0.9322169090092801,29.113941482486943
2026-07-03T08:58:09,4,0.450039,9,False,"(1, 3)",-3.5389566533725145,0.0002891,50,32,5,31,spk_sum,8,1,15,8,28,6,5,0.29155663648037217,0.8353818748376483,38.658595267102285
2026-07-03T10:42:05,3,0.472415,9,False,"(1, 3)",-4.310473303264061,4.892e-05,50,32,14,5,spk_sum,30,1,28,6,60,7,5,0.4345202434008914,0.847189282534163,3.6180542598526446
2026-07-03T11:44:07,5,0.539545,9,False,"(1, 3)",-3.5047115293113387,0.00031282,50,32,5,13,spk_mean,50,2,41,2,21,8,4,0.3243414242631298,0.8510421340866363,26.976343977843754
2026-07-03T12:02:30,6,0.478395,9,False,"(1, 3)",-2.1336930717158973,0.00735033,50,32,9,5,spk_sum,4,4,62,3,5,4,8,0.27453901656907714,0.8796543267518133,33.743559089064796
2026-07-03T12:47:21,0,0.523341,9,False,"(1, 3)",-2.0037279530542755,0.00991453,50,32,14,17,spk_sum,56,4,8,6,58,8,6,0.2956077751605972,0.9494279627320606,46.84127266590581
2026-07-03T13:53:03,9,0.489198,9,False,"(1, 3)",-3.7150432479919173,0.00019273,50,32,5,13,spk_sum,29,1,24,6,10,8,8,0.459313644314345,0.9766300483222461,25.559736883372608
2026-07-03T14:31:06,8,0.553241,9,False,"(1, 3)",-2.9190619645107367,0.00120486,50,32,6,23,spk_sum,44,2,63,5,5,4,7,0.4811814480289161,0.8123550323448128,41.64723757066948
2026-07-03T15:49:52,7,0.531829,9,False,"(1, 3)",-3.8537405034125998,0.00014004,50,32,10,26,spk_mean,44,2,14,4,16,6,8,0.025265203683638625,0.9256559788875482,39.63785187460017
2026-07-03T17:08:52,12,0.496721,9,False,"(1, 3)",-2.4171203116370577,0.00382719,50,32,10,7,spk_mean,10,1,9,4,23,2,7,0.03130092953342935,0.8124780490045247,2.451251529338154
2026-07-03T17:44:31,10,0.566551,9,False,"(1, 3)",-2.9366332764331164,0.00115709,50,32,8,13,spk_sum,42,3,53,3,24,6,5,0.1133183330449435,0.9720694758670011,18.827883092840345
2026-07-03T18:07:07,13,0.441358,9,False,"(1, 3)",-4.423682369869094,3.77e-05,50,32,7,28,spk_sum,7,1,30,4,52,3,5,0.19448334801253722,0.9804020557462292,16.15565010202052
2026-07-03T18:57:48,11,0.536458,9,False,"(1, 3)",-3.0114096822732956,0.00097407,50,32,8,30,spk_mean,54,2,44,3,56,5,5,0.039215136543264716,0.9564631791306437,44.51318821134521
2026-07-03T19:15:07,15,0.518326,9,False,"(1, 3)",-3.6560896084477417,0.00022075,50,32,6,17,spk_mean,24,1,11,8,54,2,3,0.3025361417563075,0.7953910338727166,30.875943017204538
2026-07-03T20:39:49,16,0.526427,9,False,"(1, 3)",-3.614892373564361,0.00024272,50,32,4,23,spk_sum,35,4,24,8,55,6,5,0.08239738058592774,0.8353328336549315,48.517447680238796
2026-07-04T07:13:21,20,0.544753,9,False,"(1, 3)",-3.9176517176607355,0.00012088,50,32,13,7,spk_sum,29,3,44,8,52,8,2,0.3424564311487018,0.9074513269594814,13.374856913517906
2026-07-04T08:17:28,19,0.536844,9,False,"(1, 3)",-2.9385217122876277,0.00115207,50,32,16,11,spk_mean,60,1,40,5,60,6,3,0.461446104381693,0.7754027565666047,55.45353754506503
2026-07-04T09:04:54,21,0.535494,9,False,"(1, 3)",-3.8968508594463254,0.00012681,50,32,10,24,spk_mean,31,2,64,3,46,8,5,0.42281563543798456,0.8511823479612226,5.45804747728452
2026-07-04T13:14:04,23,0.541088,9,False,"(1, 3)",-4.360437110009854,4.361e-05,50,32,13,29,spk_mean,43,2,44,5,53,5,4,0.36987890932932493,0.7633484920761175,7.155139823597466
2026-07-04T13:17:02,22,0.516204,9,False,"(1, 3)",-2.2813874919458086,0.00523133,50,32,13,27,spk_sum,39,3,28,3,19,6,7,0.4392763777990559,0.9387919204961819,49.41957735131222
2026-07-04T14:02:28,24,0.535301,9,False,"(1, 3)",-3.432256006598086,0.00036961,50,32,11,23,spk_mean,63,1,55,4,9,3,3,0.05656310077305972,0.7886709145233239,2.422564774258469
2026-07-04T14:06:25,26,0.413966,9,False,"(1, 3)",-4.271732845250309,5.349e-05,50,32,8,32,spk_sum,4,4,11,8,37,8,4,0.4117133818542093,0.7950171256977563,58.760394118059985
2026-07-04T15:12:03,25,0.515239,9,False,"(1, 3)",-2.356597882278736,0.00439949,50,32,9,23,spk_mean,31,1,19,8,38,3,8,0.10507598940327062,0.981535699380852,58.28475638091517
2026-07-04T16:24:38,28,0.51929,9,False,"(1, 3)",-2.194621692652884,0.0063882,50,32,8,32,spk_sum,16,4,31,2,7,8,7,0.02439518312555343,0.8886915790672626,15.640893071516738
2026-07-04T16:35:02,27,0.538966,9,False,"(1, 3)",-2.200735384206318,0.0062989,50,32,4,28,spk_sum,58,3,28,5,34,4,2,0.4788015831081735,0.7502436059988096,2.5739187106484733
2026-07-04T17:15:13,29,0.504051,9,False,"(1, 3)",-4.196938969431792,6.354e-05,50,32,5,25,spk_mean,49,1,41,5,25,7,6,0.14330584014507708,0.7889724204624111,34.76736674364471
2026-07-04T17:54:59,32,0.546875,9,False,"(1, 3)",-3.0333974340717753,0.00092598,50,32,9,8,spk_mean,11,4,12,8,41,3,3,0.4309480664593468,0.7584589281300457,14.241835490951313
