,trial_number,mean_bal_acc,n_subjects,run_zscore,norm_axis,lr,epochs,batch_size,n_steps_train,n_steps_eval,readout_mode,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,100.0,100.0,100.0,100,100,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unique,,,,1,1,,,,,,2,,,,,,,,,,
top,,,,False,"(1, 3)",,,,,,spk_mean,,,,,,,,,,
freq,,,,100,100,,,,,,53,,,,,,,,,,
mean,57.15,0.5312403900000001,9.0,,,0.0019895882000000005,50.0,32.0,9.91,18.2,,30.91,2.81,34.26,5.5,26.38,5.32,4.71,0.2977639620425918,0.8496440811818893,21.08934468310377
std,34.57487118084053,0.028086541454703313,0.0,,,0.0025519071074407915,0.0,0.0,3.203832931746825,8.370221386594626,,14.592854900307003,1.0415121097459572,18.71294048016349,1.966897777894639,17.710226458521678,1.948218559493661,1.782603928997344,0.1417280793621675,0.07855605750061315,15.877660241185275
min,0.0,0.413966,9.0,,,3.626e-05,50.0,32.0,4.0,4.0,,4.0,1.0,8.0,2.0,4.0,2.0,2.0,0.0101587696252147,0.7502436059988096,0.205841375100964
25%,27.75,0.5191935000000001,9.0,,,0.0002091375,50.0,32.0,8.0,11.0,,21.5,2.0,16.75,4.0,10.75,4.0,3.0,0.18424858752238668,0.7788228277880139,7.206223414261532
50%,55.5,0.538098,9.0,,,0.00084113,50.0,32.0,10.0,17.0,,30.0,3.0,31.0,5.0,22.5,5.0,4.0,0.3027133472415634,0.8209419744890667,17.264320209946547
75%,86.25,0.5488522499999999,9.0,,,0.0027661425,50.0,32.0,12.25,25.25,,40.5,4.0,54.25,7.25,40.25,7.0,6.0,0.41796967597354234,0.9272962114179812,33.9867928490366
max,117.0,0.572531,9.0,,,0.00991453,50.0,32.0,16.0,32.0,,63.0,4.0,64.0,8.0,64.0,8.0,8.0,0.4988356310082876,0.989263773916964,58.76039411805999
