subject,group,importance
1,Frontal,0.2378472222222222
1,Central,0.08159722222222221
1,Centro-parietal,0.0954861111111111
1,Parietal/Occipital,0.09548611111111105
2,Frontal,0.11458333333333343
2,Central,0.11111111111111116
2,Centro-parietal,0.12673611111111116
2,Parietal/Occipital,0.07291666666666674
3,Frontal,0.14583333333333337
3,Central,0.1909722222222222
3,Centro-parietal,0.24131944444444442
3,Parietal/Occipital,0.265625
4,Frontal,0.07118055555555552
4,Central,0.045138888888888895
4,Centro-parietal,0.11631944444444448
4,Parietal/Occipital,0.06770833333333331
5,Frontal,0.20312499999999994
5,Central,0.12847222222222215
5,Centro-parietal,0.13020833333333326
5,Parietal/Occipital,0.07986111111111105
6,Frontal,0.17708333333333331
6,Central,0.1267361111111111
6,Centro-parietal,0.17187500000000006
6,Parietal/Occipital,0.06597222222222227
7,Frontal,0.18750000000000006
7,Central,0.22916666666666669
7,Centro-parietal,0.2760416666666667
7,Parietal/Occipital,0.13020833333333343
8,Frontal,0.18576388888888895
8,Central,0.25173611111111116
8,Centro-parietal,0.26215277777777785
8,Parietal/Occipital,0.13368055555555558
9,Frontal,0.18055555555555558
9,Central,0.10590277777777779
9,Centro-parietal,0.21875
9,Parietal/Occipital,0.0642361111111111
