subject,channel,importance
1,Fz,0.03645833333333337
1,FC3,-0.015625
1,FC1,0.05208333333333337
1,FCz,0.01041666666666674
1,FC2,-0.0017361111111110494
1,FC4,0.01041666666666674
1,C5,0.2309027777777778
1,C3,0.17708333333333337
1,C1,0.0590277777777779
1,Cz,0.28993055555555564
1,C2,0.02083333333333337
1,C4,0.06076388888888895
1,C6,-0.0017361111111110494
1,CP3,0.11111111111111116
1,CP1,0.05208333333333337
1,CPz,0.15104166666666669
1,CP2,0.11111111111111116
1,CP4,0.14583333333333343
1,P1,0.20312500000000006
1,Pz,0.11111111111111122
1,P2,0.11805555555555558
1,POz,0.23958333333333337
2,Fz,0.08159722222222227
2,FC3,0.038194444444444475
2,FC1,0.031250000000000056
2,FCz,0.06944444444444448
2,FC2,0.026041666666666685
2,FC4,0.024305555555555636
2,C5,0.08159722222222227
2,C3,-0.02256944444444442
2,C1,0.032986111111111216
2,Cz,0.03993055555555558
2,C2,0.012152777777777846
2,C4,0.046875000000000056
2,C6,0.041666666666666685
2,CP3,0.08159722222222227
2,CP1,0.046875000000000056
2,CPz,0.07465277777777785
2,CP2,0.041666666666666685
2,CP4,0.08680555555555558
2,P1,0.06076388888888895
2,Pz,0.050347222222222265
2,P2,0.041666666666666685
2,POz,0.11979166666666669
3,Fz,0.07986111111111105
3,FC3,0.00694444444444442
3,FC1,0.11979166666666663
3,FCz,0.10243055555555547
3,FC2,0.03124999999999989
3,FC4,0.01041666666666663
3,C5,0.15104166666666663
3,C3,0.21527777777777768
3,C1,0.04340277777777768
3,Cz,0.10069444444444442
3,C2,0.09895833333333326
3,C4,0.142361111111111
3,C6,0.12326388888888884
3,CP3,0.2621527777777777
3,CP1,0.09375
3,CPz,0.32118055555555547
3,CP2,0.22395833333333326
3,CP4,0.24479166666666663
3,P1,0.30208333333333326
3,Pz,0.21006944444444442
3,P2,0.3420138888888888
3,POz,0.37673611111111105
4,Fz,0.046875000000000056
4,FC3,0.050347222222222265
4,FC1,0.03125
4,FCz,0.00868055555555558
4,FC2,0.00868055555555558
4,FC4,0.00868055555555558
4,C5,0.053819444444444475
4,C3,0.045138888888888895
4,C1,0.017361111111111105
4,Cz,0.0017361111111111605
4,C2,0.01215277777777779
4,C4,0.045138888888888895
4,C6,-0.013888888888888895
4,CP3,0.08854166666666669
4,CP1,-0.03298611111111105
4,CPz,0.09375000000000006
4,CP2,0.05902777777777779
4,CP4,0.14409722222222227
4,P1,0.14062500000000006
4,Pz,0.00520833333333337
4,P2,0.057291666666666685
4,POz,0.16145833333333337
5,Fz,0.01909722222222221
5,FC3,0.01041666666666663
5,FC1,-0.00868055555555558
5,FCz,0.00868055555555558
5,FC2,0.05729166666666674
5,FC4,0.0017361111111111605
5,C5,0.006944444444444475
5,C3,-0.008680555555555525
5,C1,-0.024305555555555525
5,Cz,0.041666666666666685
5,C2,0.00694444444444442
5,C4,-0.006944444444444475
5,C6,0.01041666666666663
5,CP3,0.02083333333333337
5,CP1,0.019097222222222265
5,CPz,-0.001736111111111105
5,CP2,0.0017361111111111605
5,CP4,-0.013888888888888895
5,P1,0.07291666666666669
5,Pz,0.017361111111111105
5,P2,0.078125
5,POz,0.05208333333333337
6,Fz,0.06597222222222227
6,FC3,0.03125
6,FC1,0.015625000000000056
6,FCz,0.00347222222222221
6,FC2,0.01909722222222221
6,FC4,0.02430555555555558
6,C5,0.109375
6,C3,0.11284722222222227
