,trial_number,mean_bal_acc,n_subjects,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr,epochs,batch_size,n_steps_train,n_steps_eval,readout_mode,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,101.0,101.0,101.0,101,101,101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
unique,,,,1,1,1,,,,,,,,4,,,,,,,,,,
top,,,,False,True,"(1, 3)",,,,,,,,spk_mean,,,,,,,,,,
freq,,,,101,101,101,,,,,,,,49,,,,,,,,,,
mean,55.00990099009901,0.4489766633663366,9.0,,,,2.1551994227832014,72.27456279343279,0.0019577771287128715,50.0,32.0,11.336633663366337,22.198019801980198,,24.643564356435643,2.4752475247524752,26.04950495049505,6.3861386138613865,23.405940594059405,5.267326732673268,5.356435643564357,0.35611828918946187,0.846969773069209,25.121469010499386
std,33.306003978113296,0.03317522628115059,0.0,,,,0.8972155894233361,28.681902892713584,0.0022398300551034387,0.0,0.0,3.6311905147562067,7.464609570473458,,6.226691189413269,1.0544577697180726,11.438860290801493,1.555443968966436,5.729185313501008,1.8862189115206691,1.7411729288950113,0.1671824477219576,0.12664915675347696,15.79268690467681
min,0.0,0.310764,9.0,,,,1.0097029018956665,10.001778405130498,3.32e-05,50.0,32.0,4.0,4.0,,5.0,1.0,8.0,2.0,4.0,2.0,2.0,0.1023334502464931,0.5160743260911108,0.1736506864810962
25%,27.0,0.436728,9.0,,,,1.3950859100542137,53.76828580458529,0.00046094,50.0,32.0,9.0,16.0,,22.0,2.0,17.0,6.0,20.0,3.0,4.0,0.2126871645916376,0.7899006579121994,13.098600145317036
50%,53.0,0.457562,9.0,,,,1.9395100557613143,75.49943136406173,0.00116024,50.0,32.0,12.0,25.0,,26.0,2.0,25.0,7.0,23.0,5.0,5.0,0.3255175742514333,0.8890315223793366,25.44341217227148
75%,83.0,0.46875,9.0,,,,2.7285968510272185,95.28409054358274,0.00226491,50.0,32.0,14.0,28.0,,29.0,3.0,34.0,8.0,28.0,7.0,7.0,0.4775781283060294,0.9398805471523556,36.86654743648918
max,112.0,0.492091,9.0,,,,4.707862992863212,117.68818292807693,0.00985594,50.0,32.0,16.0,32.0,,32.0,4.0,58.0,8.0,32.0,8.0,8.0,0.7488847568332605,0.9891885696808288,54.21074682456219
