fractional_bits,integer_bits,format,balanced_accuracy,loss,eval_time_s
64,6,Q6.64,0.345486,1.262449,1.77
63,6,Q6.63,0.345486,1.262449,1.68
62,6,Q6.62,0.345486,1.262449,1.68
61,6,Q6.61,0.345486,1.262449,1.68
60,6,Q6.60,0.345486,1.262449,1.68
59,6,Q6.59,0.345486,1.262449,1.68
58,6,Q6.58,0.345486,1.262449,1.68
57,6,Q6.57,0.345486,1.262449,1.68
56,6,Q6.56,0.345486,1.262449,1.68
55,6,Q6.55,0.345486,1.262449,1.68
54,6,Q6.54,0.345486,1.262449,1.68
53,6,Q6.53,0.345486,1.262449,1.68
52,6,Q6.52,0.345486,1.262449,1.68
51,6,Q6.51,0.345486,1.262449,1.68
50,6,Q6.50,0.345486,1.262449,1.68
49,6,Q6.49,0.345486,1.262449,1.68
48,6,Q6.48,0.345486,1.262449,1.68
47,6,Q6.47,0.345486,1.262449,1.68
46,6,Q6.46,0.345486,1.262449,1.68
45,6,Q6.45,0.345486,1.262449,1.68
44,6,Q6.44,0.345486,1.262449,1.68
43,6,Q6.43,0.345486,1.262449,1.68
42,6,Q6.42,0.345486,1.262449,1.68
41,6,Q6.41,0.345486,1.262449,1.68
40,6,Q6.40,0.345486,1.262449,1.68
39,6,Q6.39,0.345486,1.262449,1.68
38,6,Q6.38,0.345486,1.262449,1.68
37,6,Q6.37,0.345486,1.262449,1.68
36,6,Q6.36,0.345486,1.262449,1.68
35,6,Q6.35,0.345486,1.262449,1.68
34,6,Q6.34,0.345486,1.262449,1.68
33,6,Q6.33,0.345486,1.262449,1.68
32,6,Q6.32,0.345486,1.262449,1.68
31,6,Q6.31,0.345486,1.262449,1.68
30,6,Q6.30,0.345486,1.262449,1.68
29,6,Q6.29,0.345486,1.262445,1.68
28,6,Q6.28,0.345486,1.262441,1.68
27,6,Q6.27,0.345486,1.262441,1.68
26,6,Q6.26,0.345486,1.262455,1.68
25,6,Q6.25,0.345486,1.262432,1.68
24,6,Q6.24,0.345486,1.262464,1.68
23,6,Q6.23,0.345486,1.262483,1.68
22,6,Q6.22,0.347222,1.262433,1.68
21,6,Q6.21,0.345486,1.262408,1.68
20,6,Q6.20,0.345486,1.262503,1.68
19,6,Q6.19,0.34375,1.262508,1.68
18,6,Q6.18,0.348958,1.262555,1.68
17,6,Q6.17,0.345486,1.26228,1.68
16,6,Q6.16,0.348958,1.262864,1.68
15,6,Q6.15,0.350694,1.261319,1.68
14,6,Q6.14,0.347222,1.262725,1.68
13,6,Q6.13,0.348958,1.262323,1.68
12,6,Q6.12,0.345486,1.26155,1.68
11,6,Q6.11,0.345486,1.26392,1.68
10,6,Q6.10,0.348958,1.259911,1.68
9,6,Q6.9,0.350694,1.254095,1.68
8,6,Q6.8,0.354167,1.264675,1.68
7,6,Q6.7,0.381944,1.250249,1.68
6,6,Q6.6,0.310764,1.280896,1.68
5,6,Q6.5,0.380208,1.257476,1.68
4,6,Q6.4,0.449653,1.193296,1.68
3,6,Q6.3,0.394097,1.584304,1.68
2,6,Q6.2,0.272569,1.428377,1.68
1,6,Q6.1,0.25,1.465046,1.68
0,6,Q6.0,0.25,1.386295,1.68
