,trial_number,acc_loso,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,348.0,348.0,348,348,348,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0
unique,,,2,2,2,,,,,,,,,,,,,,,,,,
top,,,False,True,"(1, 2, 3)",,,,,,,,,,,,,,,,,,
freq,,,244,318,206,,,,,,,,,,,,,,,,,,
mean,282.4080459770115,0.5175556781609195,,,,10.183048809165072,74.47146060240203,-2.6980043637513154,0.003253358103448276,100.0,32.0,4.0,20.0,22.96264367816092,3.0977011494252875,32.41379310344828,5.931034482758621,17.873563218390803,5.646551724137931,5.922413793103448,0.5029004918058321,0.7433695663231061,25.71750266837247
std,261.0868331792536,0.10227963931915458,,,,8.280620658097902,19.964002713123772,0.5344474025364404,0.0025115790096126088,0.0,0.0,0.0,0.0,6.8412451400130685,0.9339546868648557,14.278660827379886,1.7480700165237042,7.775012955614214,1.8389994319905518,1.7567532704013067,0.15736327466824357,0.1314633275067463,20.880397769872893
min,0.0,0.208333,,,,1.087431077079141,11.136380603414407,-4.496666997534483,3.187e-05,100.0,32.0,4.0,20.0,4.0,1.0,8.0,2.0,4.0,2.0,2.0,0.1145973627023645,0.5013863110250179,5.004842822925686
25%,51.0,0.49783,,,,5.3604431568686355,60.851550435857405,-2.925349664766128,0.0011878,100.0,32.0,4.0,20.0,18.0,2.0,21.0,5.0,11.75,4.0,5.0,0.4082821863646742,0.6341360253377089,10.412866010249566
50%,196.5,0.553819,,,,7.956887959491969,72.54049581460059,-2.5573526076615325,0.0027710749999999996,100.0,32.0,4.0,20.0,24.0,3.0,32.0,6.0,18.0,6.0,6.0,0.5241038831668021,0.754723931973751,17.378795007293107
75%,474.25,0.580295,,,,10.78931629543358,87.95091200706428,-2.303169233374919,0.0049754325,100.0,32.0,4.0,20.0,29.0,4.0,42.0,7.0,23.0,7.0,7.0,0.6298603470158646,0.8399656053144089,35.28731484080898
max,892.0,0.654514,,,,38.78161140502208,118.75870867108397,-2.0098675169654863,0.00977535,100.0,32.0,4.0,20.0,32.0,4.0,64.0,8.0,32.0,8.0,8.0,0.73916894951195,0.989243920576667,99.64607607540016
