,trial_number,mean_bal_acc,n_subjects,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,readout_mode,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,12.0,12.0,12.0,12,12,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
unique,,,,1,1,1,,,,,,,,,4,,,,,,,,,,
top,,,,False,True,"(1, 3)",,,,,,,,,spk_mean,,,,,,,,,,
freq,,,,12,12,12,,,,,,,,,4,,,,,,,,,,
mean,6.75,0.4105743333333332,9.0,,,,3.4800513215843405,74.32979886626093,-3.472181752238822,0.0013974224999999997,300.0,32.0,7.416666666666667,13.833333333333334,,15.833333333333334,2.0,38.0,4.166666666666667,20.583333333333332,4.666666666666667,5.5,0.4374608325690559,0.771224944171918,28.852487414595675
std,5.462683323322805,0.02601416765859898,0.0,,,,0.7631671958748361,27.26439079813877,0.8189635773331059,0.0019591242455431457,0.0,0.0,2.391588796113782,6.75322594069387,,6.365151334819268,1.2060453783110545,19.789804537598737,2.2896340848319503,8.151501070169205,1.775250729197189,1.9306145983268455,0.18224357798399635,0.13583592446622683,19.91143553944463
min,0.0,0.364969,9.0,,,,2.059855494296088,20.55828528229933,-4.440532783118573,3.626e-05,300.0,32.0,4.0,6.0,,5.0,1.0,12.0,2.0,7.0,2.0,3.0,0.1774103772858118,0.5270516327426961,3.9590358588788823
25%,2.75,0.390577,9.0,,,,3.0419329135174804,61.79872443836008,-4.037973476608386,9.17275e-05,300.0,32.0,5.75,7.75,,12.5,1.0,21.0,2.0,16.0,3.75,3.75,0.2901299084451948,0.7000913208992268,11.349620379893071
50%,5.5,0.4189815,9.0,,,,3.4383564728566065,84.34331016280453,-3.844410741156289,0.00014451999999999998,300.0,32.0,7.0,13.5,,14.5,1.5,35.5,3.0,18.5,4.5,5.5,0.4229598145529778,0.8051770355250166,27.96050931109816
75%,10.0,0.42732475000000003,9.0,,,,4.054400760279743,92.85961063117969,-2.528844932690379,0.0029655975,300.0,32.0,8.25,19.5,,20.25,3.0,56.25,6.25,27.75,6.0,7.0,0.5829997151339414,0.8731312350088003,47.52031116562358
max,17.0,0.45216,9.0,,,,4.66421219099068,100.90919364101028,-2.289977297765716,0.00512888,300.0,32.0,12.0,25.0,,29.0,4.0,62.0,8.0,32.0,7.0,8.0,0.7185907761582213,0.9352933379736444,54.627377967399525
