,trial_number,acc_loso,run_zscore,run_bandpass,norm_axis,flow,fhigh,lr_exp,lr,epochs,batch_size,n_steps_train,n_steps_eval,temporal_filters,depth_multiplier,pointwise_filters,temporal_kernel_div,separable_kernel_size,pool1_size,pool2_size,dropout,beta,spike_grad_slope
count,50.0,51.0,51,51,51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
unique,,,1,2,2,,,,,,,,,,,,,,,,,,
top,,,False,False,"(1, 3)",,,,,,,,,,,,,,,,,,
freq,,,51,47,43,,,,,,,,,,,,,,,,,,
mean,62.66,0.5513003921568627,,,,25.011318392672123,104.06961631748341,-2.7130369966639263,0.0024994249019607844,100.0,32.0,4.0,20.0,16.88235294117647,3.1176470588235294,46.72549019607843,3.627450980392157,24.03921568627451,7.117647058823529,4.078431372549019,0.26788914173392614,0.7738286632138986,15.108938277593772
std,25.247840885662978,0.03632124472155569,,,,14.276354568800723,18.30200093542277,0.32049120382152113,0.0017950246745873691,0.0,0.0,0.0,0.0,4.4750287544261855,1.1071957157346557,11.867735135858988,1.0947289036784493,7.2579908633553005,1.0128585058838064,1.5471669238308057,0.16133350662602375,0.06632768198432347,11.18277702393466
min,14.0,0.414931,,,,1.064826595965943,35.45511020174895,-3.4700964192321937,0.00033877,100.0,32.0,4.0,20.0,6.0,1.0,8.0,2.0,4.0,3.0,2.0,0.1011454034568788,0.6141767432924018,5.096237011087682
25%,44.75,0.530382,,,,8.449841765778306,104.24378817464208,-2.9577440174443907,0.00110225,100.0,32.0,4.0,20.0,14.0,2.0,43.5,3.0,17.5,7.0,3.0,0.16326841333699238,0.7312435991326338,7.702479715618312
50%,64.5,0.555556,,,,32.296561415938804,110.03728074147377,-2.77146682193158,0.00169252,100.0,32.0,4.0,20.0,17.0,4.0,49.0,3.0,27.0,7.0,4.0,0.2183856184142899,0.7792248177473918,11.018821610153578
75%,82.5,0.578125,,,,36.21421813772175,114.55245069068896,-2.4373097049645827,0.003653895,100.0,32.0,4.0,20.0,19.0,4.0,55.0,4.0,30.0,8.0,5.0,0.2840422491072306,0.8142763255912437,17.32405462883453
max,108.0,0.609375,,,,39.67011067352637,119.99433917799053,-2.094200564846039,0.00805007,100.0,32.0,4.0,20.0,28.0,4.0,64.0,7.0,32.0,8.0,8.0,0.7430233537871975,0.9286329501003664,52.96820359817561
